1,862,Призвание Рюрика на княжение,
2,882,Князь Олег захватил Киев,
3,907,Поход Олега на Константинополь,
4,911,Поход Олега на Константинополь,
5,941,Неудачный поход Игоря на Константинополь,
6,945,Восстание племени Древлян,
7,945,Убит князь Игорь,
8,957,Княгиня Ольга приняла крещение в Константинополе,
9,988,Крещение Руси,
10,1016,Принятие Русской Правды,
11,1097,Съезд князей в Любече,
12,1136,Новгород был объявлен Республикой,
13,1147,Первое упоминание Москвы в летописи,
14,1169,Андрей Боголюбский захватывает Киев,
15,31 мая 1223,Битва на реке Калке,
16,1237-1240,Нашествие хана Батыя и его орды,
17,4 марта 1238,Битва на реке Сить между Русью и Ордой,
18,1240-1480,Татаро-монгольское иго,
19,5 апреля 1242,Ледовое побоище,
20,15 июля 1240,Невская битва,
21,1327,Восстание в Твери,
22,8 сентября 1380,Куликовская битва,
23,1478,Присоединение Новогорода к Московскому княжеству,
24,1480,Великое стояние на реке Угре,
25,1547,Иван 4 объявляет себя царем,
26,1549-1560,Работа Избранной Рады,
27,1549,Созыв первого Земского Собора,
28,1552,Присоединение Казанского ханства к России,
29,1552,Взятие Казани,
30,1556,Присоединение Астраханского ханства к России,
31,1556,Взятие Астрахани,
32,1558-1583,Ливонская война,
33,1565-1572,Опричнина,
34,1591,Угличское дело – убийство царевича Дмитрия,
35,1603-1613,Смутное время на Руси,
36,1606-10 октября 1607,Восстание Ивана Болотникова,
37,1610-1613,Семибоярщина,
38,26 октября 1612,Освобождение Москвы от польских интервентов,
39,1613,Земский Собор избрал на царствование Романовых,
40,1632-1634,Смоленская война,
41,1648,Соляной бунт в Москве,
42,1653-1656,Патриарх Никон проводит церковную реформу. Фактически начался церковный раскол,
43,8 января 1654,Украина была присоединена к России,
44,1654-1667,Война между Россией и Польшей,
45,25 июля 1662,Медный бунт в Москве,
46,1666,Восстание Василия Уса,
47,1667-1671,Восстание (крестьянская война) Степана Разина,
48,1689,Царевна Софья была сослана в монастырь,
49,1697-1698,Великое посольство царя Петра 1 к Европу,
50,1700-1721,Северная война,
51,27 мая 1703,Был основан город Санкт-Петербург,
52,1705-1711,Башкирское восстание,
53,1705-1706,Астраханское восстание,
54,1707-1710,Восстание Кондратия Булавина,
55,27 июня 1709,Полтавская битва,
56,1721,Петр 1 объявляет себя Императором России,
57,1725-1762,Дворцовые перевороты в России,
58,1756-1762,Семилетняя война,
59,1768-1774,Война между Россией и Турцией,
60,1773-1775,Восстание Емельяна Пугачева,
61,1787-1791,Война между Россией и Турцией,
62,1799,Суворов совершает «подвиг» - Швейцарский и Итальянские походы,
63,11 марта 1801,Убийство Павла 1,
64,1801-1825,Правление Александра 1,
65,1801,К Российской Империи была присоединена Грузия,
66,1802-1810,Реформы Михаила Сперанского,
67,1803,Принят указ «О вольных хлебопашцах»,
68,1804-1813,Война между Россией и Ираном,
69,1805-1807,Война России и Франции,
70,1806-1812,Война России и Турции,
71,1807,Тильзитский мир,
72,1808-1809,Война России и Швеции,
73,1809,В состав Российской Империи была включена Финляндия,
74,12 июня 1812,Отечественная война с Наполеоновской Францией,
75,26 августа 1812,Бородинская битва,
76,7 октября 1812,Наполеон отдает приказ об отступлении из Москвы,
77,1813-1814,Заграничный поход российской армии,
78,1817-1864,Война на Кавказе (присоединение Дагестана и Чечни),
79,1825-1855,Правление Николая 1,
80,14 декабря 1825,Восстание декабристов на Сенатской площади,
81,1826-1828,Война между Россией и Персией,
82,1828-1829,Война между Россией и Турцией,
83,1830-1831,Холерные бунты,
84,1853-1856,Крымская война,
85,18 ноября 1853,Синопское сражение,
86,1855-1881,Правление Александра 2,
87,1867,Продажа Аляски США,
88,1877-1878,Война между Россией и Турцией,
89,1 марта 1881,Убийство Александра 2,
90,1891-1917,Строительство Сибирской Железной Дороги,
91,1895,А. Попов изобрел радио,
92,1898,1-ый съезд РСДРП в Минске,
93,1903,2-ой съезд РСДРП в Брюсселе и Лондоне,
94,1904-1905,Русско-Японская война,
95,9 января 1905,Кровавое воскресенье,
96,9 – 19 декабря 1905,Восстание в Москве,
97,1906,Начало аграрной реформы Столыпина,
98,1 сентября 1917,Россия была провозглашена Республикой,
99,3 марта 1918,Подписание Брестского мирного договора,
100,30 декабря 1922,Подписаны документы об образовании СССР (Союза Советских Социалистических Республик),
101,21 января 1924,Владимир Ильич Ленин (Ульянов) погиб,
102,1924,Принята первая Конституция СССР,
103,18 сентября 1934,СССР был принят в Лигу Наций,
104,1 декабря 1934,В Ленинграде был убит С.М. Киров. В дальнейшем это послужило началом массовых репрессий.,
105,23 августа 1939,Подписание пакта Молотова-Риббетропа о ненападении между Германией и СССР,
106,1 сентября 1939,Начало Второй Мировой Войны,
107,30 ноября 1939,СССР начинает войну против Финляндии,
108,13 марта 1940,СССР и Финляндия подписывают мирный договор,
109,16 июня 1940,РККА (Красная Армия) вступает в Прибалтику,
110,28 июня 1940,РККА вступает на территориию Бессарабии и Северной Буковины,
111,22 июня 1941,Начало Великой Отечественной Войны (Германия вторгается на территорию СССР),
112,7 июля 1941-26 сентября 1941,Киевская оборонительная операция,
113,10 июля 1941-10 сентября,Битва за Смоленск,
114,8 сентября 1941,Начало обороны Ленинграда,
115,30 сентября 1941-5 декабря 1941,Оборона Москвы,
116,6 декабря 1941-10 января 1942,Контрнаступление под Москвой,
117,17 июля 1942-19 ноября 1942,Оборона Сталинграда,
118,28 июля 1942,Подписан знаменитый приказ «Ни шагу назад!», он известен под номером 227
119,29 ноября 1942,Советские войска приступили к освобождению Украины,
120,5 июля 1943-23 августа 1943,Курская битва (Курская дуга),
121,6 ноября 1943,РККА освободила Киев,
122,19 ноября 1942-2 февраля 1943,Разгром немцев под Сталинградом,
123,18 января 1943,Произошел прорыв блокадного Ленинграда,
124,28 ноября 1943- 1 декабря 1943,Тегеранская конференция,
125,17 марта 1991,Референдум о сохранении СССР (76,4% голосов за сохранение)
126,12 июня 1991,Борис Ельцин победил на выборах Президенства РСФСР (57,3% голосов)
127,8 декабря 1991,Подписаны «Боловежские соглашения»,
128,25 декабря 1991,Михаил Горбачев снимает с себя функции Президента СССР,
129,сентябрь 1993,Б.Н. Ельцин подписывает указ о проведении конституционных реформ,
130,3 октября 1993-4 октября 1993,"Вооруженные столкновения в Москве. Обстрел ""Белого дома""",
131,декабрь 1994,Вооруженные силы РФ были введены в Чечню для наведения конституционного порядка,
132,31 декабрь 1994,Штурм города Грозный,
133,1996,Российская Федерация принята в Совет Европы,
134,1998,"Российская Федерация входит в ""Большую восьмерку""",
135,сентябрь 1999,Контртеррористическая операция в Чечне (начало второй чеченской компании),
136,март 2000,Владимир Владимирович Путин избран президентом России,
